date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:02	37240/37240	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22aa6004f-9178-51685e9d51e8d%22	http://www.feedmusic.com/fonts/1437496/483d8937-5e17-4378-9c51-aa91a3d9e1eb.eot?	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437496/483d8937-5e17-4378-9c51-aa91a3d9e1ebd41d.eot	(from http://www.feedmusic.com/css/style.min.css)
09:24:07	35036/35036	---M--	200	added ('OK')	font/woff2	etag:%22aa60056-88dc-51685e9f46e36%22	http://www.feedmusic.com/fonts/1437496/ed4b9060-b5ab-4379-8840-0b50a15258b7.woff2	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437496/ed4b9060-b5ab-4379-8840-0b50a15258b7.woff2	(from http://www.feedmusic.com/css/style.min.css)
09:24:10	47118/47118	---M--	200	added ('OK')	font/woff	etag:%22aa60041-b80e-51685e98b4ff0%22	http://www.feedmusic.com/fonts/1437496/9b47db0b-77fb-4bb0-b5c2-3c131a36fc4d.woff	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437496/9b47db0b-77fb-4bb0-b5c2-3c131a36fc4d.woff	(from http://www.feedmusic.com/css/style.min.css)
09:24:11	122092/122092	---M--	200	added ('OK')	font/ttf	etag:%22acc0ad4-1dcec-51685f837e3cf%22	http://www.feedmusic.com/vendor/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/Users/nmenon/Documents/demo/www.feedmusic.com/vendor/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://www.feedmusic.com/css/style.min.css)
09:24:12	110648/110648	---M--	200	added ('OK')	image/svg+xml	etag:%22aa6003b-1b038-51685e96c65d8%22	http://www.feedmusic.com/fonts/1437496/0f72ee75-31c8-42ba-b262-3e13b83a8fdf.svg	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437496/0f72ee75-31c8-42ba-b262-3e13b83a8fdf.svg	(from http://www.feedmusic.com/css/style.min.css)
09:24:19	37866/37866	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22aa6006b-93ea-51685ea68a83f%22	http://www.feedmusic.com/fonts/1437556/6ff8ab07-ccb4-4a91-8f0f-2bd4367902e8.eot?	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437556/6ff8ab07-ccb4-4a91-8f0f-2bd4367902e8d41d.eot	(from http://www.feedmusic.com/css/style.min.css)
09:24:20	35392/35392	---M--	200	added ('OK')	font/woff2	etag:%22aa6007e-8a40-51685ead5a2cd%22	http://www.feedmusic.com/fonts/1437556/91799b0e-0ef8-446e-b274-5509412e1242.woff2	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437556/91799b0e-0ef8-446e-b274-5509412e1242.woff2	(from http://www.feedmusic.com/css/style.min.css)
09:24:24	116264/116264	---M--	200	added ('OK')	font/ttf	etag:%22aa60046-1c628-51685e9b66355%22	http://www.feedmusic.com/fonts/1437496/9c8b7e5f-b3ca-435d-a197-b3dfeae277a1.ttf	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437496/9c8b7e5f-b3ca-435d-a197-b3dfeae277a1.ttf	(from http://www.feedmusic.com/css/style.min.css)
09:24:26	110660/110660	---M--	200	added ('OK')	image/svg+xml	etag:%22aa60061-1b044-51685ea49e14e%22	http://www.feedmusic.com/fonts/1437556/0fde1539-69df-4e3d-83ef-ae23d10dd2a5.svg	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437556/0fde1539-69df-4e3d-83ef-ae23d10dd2a5.svg	(from http://www.feedmusic.com/css/style.min.css)
09:24:28	47684/47684	---M--	200	added ('OK')	font/woff	etag:%22aa60072-ba44-51685ea8918f8%22	http://www.feedmusic.com/fonts/1437556/97fb5311-bdbd-46bc-bf69-3bcf8c744cda.woff	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437556/97fb5311-bdbd-46bc-bf69-3bcf8c744cda.woff	(from http://www.feedmusic.com/css/style.min.css)
09:24:30	8787/8787	---M--	200	added ('OK')	image/gif	etag:%22a961304-2253-51684f3fa1376%22	http://www.feedmusic.com/images/ajax-loader.gif	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/ajax-loader.gif	(from http://www.feedmusic.com/css/style.min.css)
09:24:33	485121/485121	---M--	200	added ('OK')	application/javascript	etag:%22a96138e-76701-518c698caf9f0%22	http://www.feedmusic.com/js/vendors.min.js	C:/Users/nmenon/Documents/demo/www.feedmusic.com/js/vendors.min.js	(from http://www.feedmusic.com/)
09:24:37	22677/22677	---M--	200	added ('OK')	image/png	etag:%22a962217-5895-518c75dda8de9%22	http://www.feedmusic.com/images/awwwards-ribbon.png	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/awwwards-ribbon.png	(from http://www.feedmusic.com/css/style.min.css)
09:24:38	927/927	---M--	200	added ('OK')	image/svg+xml	etag:%22a96135b-39f-516854cf40bb9%22	http://www.feedmusic.com/images/logo-white.svg	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/logo-white.svg	(from http://www.feedmusic.com/css/style.min.css)
09:24:38	942/942	---M--	200	added ('OK')	image/svg+xml	etag:%22a96135e-3ae-516854d2c697d%22	http://www.feedmusic.com/images/logo.svg	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/logo.svg	(from http://www.feedmusic.com/css/style.min.css)
09:24:39	1999/1999	---M--	200	added ('OK')	image/png	etag:%22a961373-7cf-51693c0cba921%22	http://www.feedmusic.com/images/basilico.png	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/basilico.png	(from http://www.feedmusic.com/css/style.min.css)
09:24:39	116100/116100	---M--	200	added ('OK')	font/ttf	etag:%22aa60077-1c584-51685eab8c03d%22	http://www.feedmusic.com/fonts/1437556/88093bd3-b377-4278-8abe-8460dd24d0e8.ttf	C:/Users/nmenon/Documents/demo/www.feedmusic.com/fonts/1437556/88093bd3-b377-4278-8abe-8460dd24d0e8.ttf	(from http://www.feedmusic.com/css/style.min.css)
09:24:49	166175/166175	---M--	200	added ('OK')	image/jpeg	etag:%22a961365-2891f-516854e96620b%22	http://www.feedmusic.com/images/start-music-background.jpg	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/start-music-background.jpg	(from http://www.feedmusic.com/css/style.min.css)
09:24:52	276811/276811	---M--	200	added ('OK')	image/jpeg	etag:%22a961363-4394b-516854e285dd5%22	http://www.feedmusic.com/images/presentation-background.jpg	C:/Users/nmenon/Documents/demo/www.feedmusic.com/images/presentation-background.jpg	(from http://www.feedmusic.com/css/style.min.css)
